Height: 480 Width: 640
Span: 25
MaxThreshold: 10 MinThreshold: 60
{ (225.0, 25.0) 10.9118080139 337.174530029 }
{ (250.0, 25.0) 32.6769790649 337.223052979 }
{ (200.0, 50.0) 11.9850969315 274.863525391 }
{ (225.0, 50.0) 26.3404827118 327.548126221 }
{ (250.0, 50.0) 31.4909324646 344.70401001 }
{ (200.0, 75.0) 12.1747074127 272.460540771 }
{ (225.0, 75.0) 16.4060230255 329.00479126 }
{ (250.0, 75.0) 19.0183792114 346.204528809 }
{ (200.0, 25.0) 11.2688112259 350.134399414 }
{ (225.0, 25.0) 11.7692146301 338.25289917 }
{ (250.0, 25.0) 13.0718727112 335.294189453 }
{ (425.0, 25.0) 11.8934812546 11.1090660095 }
{ (450.0, 25.0) 10.8247900009 10.911403656 }
{ (475.0, 25.0) 11.3625955582 13.9507846832 }
{ (500.0, 25.0) 20.1201000214 18.58020401 }
{ (225.0, 50.0) 11.1411304474 341.804168701 }
{ (250.0, 50.0) 17.0878982544 333.694396973 }
{ (375.0, 50.0) 15.0737161636 29.7039718628 }
{ (400.0, 50.0) 11.7939405441 48.2184333801 }
{ (425.0, 50.0) 11.8084764481 15.9676094055 }
{ (450.0, 50.0) 12.5328054428 11.2005243301 }
{ (475.0, 50.0) 13.6792097092 17.7022304535 }
{ (500.0, 50.0) 39.4907875061 5.59146499634 }
{ (175.0, 75.0) 15.5855178833 178.825744629 }
{ (375.0, 75.0) 15.9977245331 6.7934012413 }
{ (400.0, 75.0) 16.3052825928 10.9323987961 }
{ (425.0, 75.0) 11.3327293396 46.5480651855 }
{ (450.0, 75.0) 12.2895307541 20.7150592804 }
{ (475.0, 75.0) 19.030248642 46.1761703491 }
{ (500.0, 75.0) 46.7242698669 16.0323066711 }
{ (375.0, 100.0) 15.762383461 6.14090776443 }
{ (400.0, 100.0) 15.9302635193 5.14952707291 }
{ (450.0, 100.0) 11.1276044846 17.3737277985 }
{ (475.0, 100.0) 24.1029109955 63.471534729 }
{ (500.0, 100.0) 49.1777191162 30.7021331787 }
{ (375.0, 125.0) 15.4474534988 12.2029418945 }
{ (400.0, 125.0) 10.807346344 15.7977304459 }
{ (450.0, 125.0) 11.0539569855 5.24053192139 }
{ (475.0, 125.0) 11.9914569855 16.0435237885 }
{ (500.0, 125.0) 46.1948890686 355.695861816 }
{ (325.0, 150.0) 15.348441124 15.4646234512 }
{ (375.0, 150.0) 11.2357559204 16.6341362 }
{ (400.0, 150.0) 11.0224466324 9.2833404541 }
{ (425.0, 150.0) 17.5457382202 20.0563621521 }
{ (450.0, 150.0) 11.2309894562 7.82645654678 }
{ (475.0, 150.0) 11.3039426804 4.96628332138 }
{ (500.0, 150.0) 46.8466033936 10.3160533905 }
{ (325.0, 175.0) 18.3327884674 33.7283172607 }
{ (375.0, 175.0) 10.449429512 24.0058727264 }
{ (425.0, 175.0) 24.1976776123 12.6705846786 }
{ (450.0, 175.0) 11.272892952 24.7674598694 }
{ (475.0, 175.0) 11.6209459305 29.5739307404 }
{ (500.0, 175.0) 58.2120437622 348.539733887 }
{ (325.0, 200.0) 14.725566864 23.3849639893 }
{ (425.0, 200.0) 20.5100288391 345.71383667 }
{ (450.0, 200.0) 11.3575353622 351.638793945 }
{ (475.0, 200.0) 11.4784517288 347.501953125 }
{ (500.0, 200.0) 59.7895584106 355.777770996 }
{ (325.0, 225.0) 15.1916971207 324.998779297 }
{ (400.0, 225.0) 16.0639724731 7.91075325012 }
{ (425.0, 225.0) 20.1950206757 341.779388428 }
{ (475.0, 225.0) 29.916557312 278.623443604 }
{ (500.0, 225.0) 47.8269844055 345.683258057 }
{ (300.0, 250.0) 13.0096464157 283.152099609 }
{ (350.0, 250.0) 10.0312461853 296.978973389 }
{ (375.0, 250.0) 15.7650537491 316.77255249 }
{ (475.0, 250.0) 23.084318161 290.639282227 }
{ (500.0, 250.0) 40.6371116638 334.388214111 }
{ (275.0, 275.0) 12.8170928955 284.012390137 }
{ (300.0, 275.0) 11.069811821 283.27154541 }
{ (375.0, 275.0) 32.0024642944 306.053710938 }
{ (375.0, 300.0) 35.818775177 307.768554688 }
{ (400.0, 300.0) 24.4212875366 312.374847412 }
{ (25.0, 325.0) 30.0763816833 295.372009277 }
